TUDNIVALÓK	TUDNI+VALÓ(K)
hőmérséklet	hő+mérséklet
legfeljebb	legfeljebb
megemelkedhet	megemelkedhet
lehetséges	lehetséges
ellenáll	ellen+áll
készítményt	készítményt
szájába	szájába
helyezzük	helyezzük
tablettát	tablettát
kismennyiségű	kis+mennyiség(ű)
nedvesített	nedvesített
eledelbe	eledelbe
AMBIRIX-	AMBIRIX-
Soliris	Soliris
koncentrátum	koncentrátum
oldatos	oldatos
infúzióhoz	infúzióhoz
Ekulizumab	Ekulizumab
Emlékeztető	Emlékeztető
készítményhez	készítményhez
kapcsolódó	kapcsolódó
kérdéseivel	kérdéseivel
forduljon	forduljon
hozatali	hozatali
engedély	engedély
jogosultjának	jogosultjának
képviseletéhez	képviseletéhez
Kaletra	Kaletra
farmakokinetikáját	farmakokinetikáját
összesen	összesen
közötti	közötti
gyermeken	gyermeken
vizsgálták	vizsgálták
kétszer	kétszer
csomagoláson	csomagoláson
feltüntetett	feltüntetett
lejárati	lejárati
Levviax-	Levviax-
feliratú	feliratú
mintavételi	minta+vétel(i)
csöveket	csöveket
Felbontás	Felbontás
használható	használható
megkezdett	megkezdett
fölhasználási	fölhasználási
határideje	határ+idE(je)
előfordulását	előfordulását
olanzapin-	olanzapin-
kapcsán	kapcsán
jelentettek	jelentettek
gyakori	gyakori
exfoliatív	exfoliatív
bőrkiütés	bőr+kiütés
ecchymosis	ecchymosis
feldagadása	feldagadása
celluláris	celluláris
lizoszómákban	lizoszómákban
metabolizmus	metabolizmus
alapján	alapján
várható	várható
idurszulfáz	idurszulfáz
citokróm	citokróm
enzimek	enzimek
közvetített	közvetített
kölcsönhatásokban	kölcsön+hatás(okban)
táblázat	táblázat
Csökkentett	Csökkentett
ViraferonPeg	ViraferonPeg
kombinációs	kombinációs
törzsoldatot	törzs+oldat(ot)
maximális	maximális
koncentráció	koncentráció
keveréket	keveréket
keverni	keverni
használja	használja
SoloStart-	SoloStart-
látható	látható
részecskéket	részecskéket
Oldatos	Oldatos
injekció	injekció
injekciós	injekciós
üvegenként	üvegenként
hirtelen	hirtelen
abbahagyja	abbahagyja
OLANZAPINE	OLANZAPINE
NEOPHARMA	NEOPHARMA
szedését	szedését
előfordulhat	előfordulhat
verejtékezés	verejtékezés
álmatlanság	álmatlanság
remegés	remegés
nyugtalanság	nyugtalanság
hányinger	hány+inger
szívverés	szív+verés
szívdobogásérzés	szív+dobogás+érzés
nehezített	nehezített
VIRACEPT	VIRACEPT
elhanyagolható	elhanyagolható
mértékben	mértékben
befolyásolja	befolyásolja
képességeket	képességeket
tapaszt	tapaszt
másikat	másikat
hordani	hordani
minimális	minimális
plazmakoncentrációja	plazma+koncentráció(ja)
farmacevtska	farmacevtska
Patkányokon	Patkányokon
végzett	végzett
micronucleus	micronucleus
szintén	szintén
negatív	negatív
eredménnyel	eredménnyel
Zeffix-	Zeffix-
megelőzően	megelőzően
beszélnie	beszélnie
egészségügyi	egészség+ügy|i
problémáit	problémáit
kezelőorvosával	kezel|ő+orvos(ával)
TUDOMÁNYOS	TUDOMÁNYOS
KÖVETKEZTETÉSEK	KÖVETKEZTETÉSEK
bortezomib	bortezomib
Caelyx-	Caelyx-
leállítását	leállítását
eredményező	eredményező
nemkívánatos	nem+kívánatos
események	események
neuralgia	neuralgia
perifériás	perifériás
neuropátia	neuropátia
szenzoros	szenzoros
thrombocytopenia	thrombocytopenia
ejekciós	ejekciós
frakció	frakció
kimerültség	kimerültség
szerepeltek	szerepeltek
előnyei	előnyei
Doribax	Doribax
alkalmazásának	alkalmazásának
Adagológomb	adagol|ó+gomb
beállító	beállító
irbezartán/	irbezartán/
hidroklorotiazid	hidroklorotiazid
kombináció	kombináció
fertilitásra	fertilitásra
hatását	hatását
állatokban	állatokban
bizonyíték	bizonyíték
irbezartán	irbezartán
önállóan	önállóan
alkalmazva	alkalmazva
hatással	hatással
állatok	állatok
nemzőképességére	nemz|ő+képesség(ére)
javasolt	javasolt
terápiás	terápiás
kétszeresének	kétszeresének
megfelelő	megfelelő
túladagolásról	túl+adagolás(ról)
számoltak	számoltak
Neutropenia	Neutropenia
vigyázatosság	vigyázatosság
következő	következő
esetekben	esetekben
bármely	bármely
kialakult	kialakult
leukopenia	leukopenia
neutropenia	neutropenia
ismerten	ismerten
neutropeniát	neutropeniát
gyógyszeres	gyógyszeres
gyógyszer	gyógyszer
kiváltott	kiváltott
csontvelő	csont+velő
depresszió/	depresszió/
toxicitás	toxicitás
kórelőzményben	kór+előzmény(ben)
társbetegség	társ+betegség
csontvelődepresszió	csont+velő+depresszió
kemoterápia	kemo+terápia
hypereosinophiliával	hypereosinophiliával
myeloproliferativ	myeloproliferativ
kórképek	kór+kép(ek)
Deutschland	Deutschland
JANSSEN-	JANSSEN-
Raiffeisenstr	Raiffeisenstr
Vesebetegség	Vese+betegség
külleme	külleme
csomagolás	csomagolás
Irbesartan	Irbesartan
tabletta	tabletta
csaknem	csaknem
domború	domború
felületű	felületű
oldalán	oldalán
mélynyomással	mély+nyomás(sal)
mélynyomású	mély+nyomás(ú)
jelzéssel	jelzéssel
ellátott	ellátott
trabektedin	trabektedin
tanulmányozták	tanulmányozták
különböző	különböző
etnikumok	etnikumok
körében	körében
oldószerrel	old|ó+szer(rel)
előretöltött	előre+töltött
feloldásra	feloldásra
szolgáló	szolgáló
EasyMIX	EasyMIX
adaptert	adaptert
beadásra	beadásra
csomagban	csomagban
Francia	Francia
inhalálási	inhalálási
lélegzésének	lélegzésének
jellegzetességeitől	jellegzetességeitől
klofarabin	klofarabin
intravénás	intravénás
infúzióban	infúzióban
beadott	beadott
súlytartományban	súly+tartomány(ban)
eredményezett	eredményezett
egyenértékű	egyen+érték(ű)
expozíciót	expozíciót
korábban	korábban
depresszióban	depresszióban
szenvedett	szenvedett
jelenleg	jelenleg
depressziós	depressziós
támadtak	támadtak
venlafaxin	venlafaxin
dózistartományban	dózis+tartomány(ban)
lineáris	lineáris
kinetikát	kinetikát
mutatott	mutatott
Kiszáradás	Kiszáradás
anorexia	anorexia
Anyagcsere	anyag+csere
táplálkozási	táplálkozási
betegségek	betegségek
szorongás	szorongás
Pszichés	Pszichés
zavarok	zavarok
Gyakori	Gyakori
izgatottság	izgatottság
ingerlékenység	ingerlékenység
fejfájás	fej+fájás
Idegrendszeri	ideg+rendszer(i)
neuropathia	neuropathia
paraesthesia	paraesthesia
aluszékonyság	aluszékonyság
szédülés	szédülés
hallásromlás	hallás+romlás
labyrinthus	labyrinthus
betegségei	betegségei
pericardialis	pericardialis
folyadékgyülem	folyadék+gyülem
tachycardia	tachycardia
Szívbetegségek	Szív+betegség(ek)
kipirulás	kipirulás
Érrendszeri	ér+rendszer(i)
hypotensio	hypotensio
haematoma	haematoma
Légzőrendszeri	légző+rendszer(i)
mellkasi	mell+kas(i)
mediastinalis	mediastinalis
mérsékelt	mérsékelt
vesekárosodásban	vese+károsodás(ban)
szenvedő	szenvedő
betegekben	betegekben
plazmakoncentrációk	plazma+koncentráció(k)
megduplázódását	megduplázódását
figyelték	figyelték
mindazonáltal	mindazonáltal
veseelégtelenségben	vese+elégtelenség(ben)
hemodialízissel	hemodialízissel
alacsonyabb	alacsonyabb
plazmaszinteket	plazma+szint(eket)
megújításának	megújításának
Gyakoriság	gyakoriság
filmtabletta	film+tabletta
telbivudin	telbivudin
GYÓGYSZER	gyógy+szer
OVITRELLE	OVITRELLE
BETEGSÉGEK	betegségek
ALKALMAZHATÓ?	ALKALMAZHATÓ?
Hyperhidrosis	Hyperhidrosis
Pelenka-	Pelenka-
dermatitis	dermatitis
bőségesen	bőségesen
kezelendő	kezelendő
bőrterület	bőr+terület
felületére	felületére
ismételt	ismételt
adagolás	adagolás
gabapentin	gabapentin
farmakokinetikájára	farmakokinetikájára
Protaphane	Protaphane
hatástartamú	hatás+tarta(mú)
inzulin	inzulin
vérnyomás	vér+nyomás
lelassult	lelassult
véráramlás	vér+áramlás
Feloldódás	feloldódás
oldatnak	oldatnak
tisztának	tisztának
színtelennek	színtelennek
halványsárgának	halvány+sárgÁ(nak)
Klinikai	Klinikai
thromboticus/	thromboticus/
thromboemboliás	thromboemboliás
szövődmények	szövődmények
előfordulási	előfordulási
gyakorisága	gyakorisága
hasonló	hasonló
romiplosztimmal	romiplosztimmal
placebóval	placebóval
összefüggést	összefüggést
valamint	valamint
emelkedett	emelkedett
vérlemezkeszám	vér+lemezke+szám
kétrétegű	két+réteg(ű)
rétegen	rétegen
ellátva	ellátva
kórházban	kór+ház(ban)
szervátültetése	szerv+átültetés(e)
időszakban	idő+szak(ban)
hiperkoleszterinémia	hiperkoleszterinémia
indikáció	indikáció
főképpen	főképpen
diszlipidémiával	diszlipidémiával
kombinálva	kombinálva
elfelejtette	elfelejtette
bevenni	bevenni
CEPROTIN-	CEPROTIN-
epilepsziás	epilepsziás
nagyroham	nagy+roham
diszkinézia	diszkinézia
poszturális	poszturális
PLANTARIS	PLANTARIS
ERYTHRODYSAESTHESIA	ERYTHRODYSAESTHESIA
beadása	beadása
hatásmechanizmusa	hatás+mechanizmus(a)
dobozon	dobozon
Combivir-	Combivir-
gyakran	gyakran
észlelt	észlelt
mellékhatások	mellék+hatás(ok)
következők	következők
fájdalom	fájdalom
véraláfutás	vér+alá+futás
zsibbadás	zsibbadás
Európai	Európai
Bizottság	Bizottság
részére	részére
Ziagen-	Ziagen-
vonatkozóan	vonatkozóan
megadta	megadta
területére	területére
érvényes	érvényes
engedélyt	engedélyt
Dializált	Dializált
tapasztalat	tapasztalat
esetében	esetében
pioglitazon	pioglitazon
valószínű	valószínű
aripiprazol	aripiprazol
klinikailag	klinikailag
jelentős	jelentős
gyógyszerinterakciókat	gyógyszer+interakció(kat)
enzimeken	enzimeken
Kortikoszteroiddal	Kortikoszteroiddal
előkezelés	előkezelés
azoknál	azoknál
betegeknél	betegeknél
akiknél	akiknél
lokális	lokális
növekedése	növekedése
létfontosságú	lét+fontosság(ú)
szerveket	szerveket
veszélyeztethet	veszélyeztethet
Vesetranszplantáción	vese+transzplantáció(n)
frissen	frissen
átesett	átesett
kezelésével	kezelésével
urticaria	urticaria
onycholysis	onycholysis
Caelyx?	Caelyx?
betegeket	betegeket
tájékoztatni	tájékoztatni
jelenlegi	jelenlegi
retrovírus-	retro+vírus-
ellenes	ellenes
terápia	terápia
megelőzné	megelőzné
fertőzés	fertőzés
szexuális	szexuális
érintkezés	érintkezés
átvitelét	átvitelét
személyekre	személyekre
Betaferon	Betaferon
injekciózására	injekciózására
részletes	részletes
útmutatások	út+mutatás(ok)
Függelék	Függelék
részében	részében
öninjekciózás	ön+injekciózás
folyamata	folyamata
olvashatók	olvashatók
SINGULAIR	SINGULAIR
SZEDÉSE	SZEDÉSE
összehasonlítva	összehasonlítva
Orplatna	Orplatna
növelte	növelte
átlagos	átlagos
túlélési	túl+élés|i
progressziómentes	progresszió+mentes
túlélés	túlélés
vonatkozásában	vonatkozásában
mutatkozó	mutatkozó
kismértékű	kis+mérték|ű
javulást	javulást
tekintették	tekintették
relevánsnak	relevánsnak
túlélséi	túlélséi
következett	következett
javulás	javulás
értelmezhető	értelmezhető
folyadékvisszatartás	folyadék+visszatartás
nagymértékű	nagy+mérték|ű
hypokalaemia	hypokalaemia
tünetek	tünetek
vizsgálat2	vizsgálat2
haematológiai	haematológiai
dóziscsökkentést	dózis+csökkentés(t)
késleltetést	késleltetést
igényelhet	igényelhet
jogosultja	jogosultja
véleményen	véleményen
kontrollált	kontrollált
hipertóniában	hipertóniában
ellenjavallat	ellen+javallat
indokolt	indokolt
injekciót	injekciót
üvegtestébe	üveg+test(ébe)
található	található
Vaniqa?	Vaniqa?
általában	általában
Protopic	Protopic
kenőccsel	kenőccsel
kezdődik	kezdődik
naponta	naponta
alkalmazni	alkalmazni
egyszer	egyszer
megszűnéséig	megszűnéséig
Bizonyos	Bizonyos
feloldódása	feloldódása
igénybe	igénybe
COVERSYL	COVERSYL
Clonmel	Clonmel
Healthcare	Healthcare
Limited	Limited
Waterford	Waterford
Harminc	Harminc
subcutan	subcutan
adagolást	adagolást
reverzíbilis	reverzíbilis
tapasztaltak	tapasztaltak
kimutatható	kimutatható
egyszeri	egyszeri
dózisokat	dózisokat
előírtnál	előírtnál
Insulin	Insulin
Winthrop	Winthrop
alkalmazott	alkalmazott
vércukorszintje	vér+cukor+szint(je)
Metabolizmus	Metabolizmus
Nikotinsav	nikotin+sav
nikotinsav	nikotinsav
metabolizmuson	metabolizmuson
dózisarány-	dózis+arány-
útvonalon	út+vonal(on)
Arixtra	Arixtra
Fondaparinux-	Fondaparinux-
trigliceridszint	trigliceridszint
koleszterinszint	koleszterin+szint
tablettánként	tablettánként
eljárás	eljárás
megkezdése	megkezdése
olvassa	olvassa
melfalan	melfalan
alkalmazási	alkalmazási
előírását	előírását
Casodex	Casodex
hyperglykaemiás	hyperglykaemiás
állapotok	állapotok
diabetes	diabetes
mellitus	mellitus
hyperkalaemia	hyperkalaemia
Dynastat	Dynastat
szemölcsös	szemölcsös
területen	területen
Szokásos	Szokásos
fenntartó	fenn+tart|ó
befejezése	befejezése
legalább	legalább
hónapig	hónapig
gondoskodni	gondoskodni
fogamzásgátlásról	fogamzás+gátlás(ról)
tartály	tartály
EMADINE	EMADINE
mennyiségének	mennyiségének
véletlenszerű	véletlen+szerű
lenyelésekor	lenyelésekor
emedasztin	emedasztin
hatására	hatására
megnyúlhat	megnyúlhat
szakasz	szakasz
esetben	esetben
megfigyelése	megfigyelése
kezelése	kezelése
analízis	analízis
zárópontnál	zár|ó+pont(nál)
Elsődleges	Elsődleges
kontroll	kontroll
viszonyítva	viszonyítva
vizeletben	vizeletben
székletben	székletben
választódik	választódik
Fertőzés	Fertőzés
Fuzidinsav	Fuzidinsav
BUBORÉKFÓLIÁN	buborék+fóliÁ(n)
FELTÜNTETENDŐ	FELTÜNTETENDŐ
Xenical	Xenical
kapszulát	kapszulát
elmondottaknak	elmondottaknak
megfelelően	megfelelően
Patkányokban	Patkányokban
nyulakban	nyulakban
toxikus	toxikus
észleltek	észleltek
embryofoetalis	embryofoetalis
fejlődésre	fejlődésre
állatkísérletekben	állat+kísérlet(ekben)
dopaminerg	dopaminerg
hyperaktivitásnál	hyperaktivitásnál
antagonista	antagonista
hypoaktivitásnál	hypoaktivitásnál
agonista	agonista
hatásúnak	hatásúnak
bizonyult	bizonyult
Kockázatkezelési	kockázat+kezelés|i
rendszer	rendszer
További	További
információk	információk
forgalombahozatali	forgalom|ba+hozatal|i
előkeverékek	elő+keverék(ek)
liposzómás	liposzómás
diszperziós	diszperziós
infúzió	infúzió
készítésére	készítésére
koncentrátumhoz	koncentrátumhoz
Liposzómás	Liposzómás
doxorubicin	doxorubicin
allergiás	allergiás
reakció	reakció
egyetlen	egyetlen
mellékhatás	mellék+hatás
amelyet	amelyet
kalcitoninnal	kalcitoninnal
emlődaganatos	emlő+daganat(os)
módosítást	módosítást
engedélyezték	engedélyezték
egyaránt	egyaránt
megfogva	megfogva
fordítsa	fordítsa
CSOMAGOLÁSON	CSOMAGOLÁSON
induktorok	induktorok
javallott	javallott
enzimindukciós	enzim+indukció|s
potenciálú	potenciálú
alternatív	alternatív
gyógyszereket	gyógy+szer(eket)
választani	választani
vizsgálatokat	vizsgálatokat
havonta	havonta
elvégezzék	elvégezzék
teljesen	teljesen
panaszmentes	panasz+mentes
nagyobb	nagyobb
beállítani	beállítani
patronban	patronban
megmaradt	megmaradt
inzulinmennyiség	inzulin+mennyiség
adagbeállító	adag+beállít|ó
elforgatásakor	elforgatásakor
történik	történik
inzulinbeadás	inzulin+beadás
Szoptatás	Szoptatás
technikai	technikai
utasítások	utasítások
szerint	szerint
nyomógomb	nyomó+gomb
benyomásával	benyomásával
fecskendő	fecskendő
segítségével	segítségével
injekcióhoz	injekcióhoz
Viraferont	Viraferont
fecskendezni	fecskendezni
kockázatokkal	kockázatokkal
alkalmazása?	alkalmazása?
tabletták	tabletták
tárolását	tárolását
pontban	pontban
Gyomor-	Gyomor-
bélrendszer	bél+rendszer
nyelőcső	nyel|ő+cső
nyálkahártyájának	nyálka+hártyÁ(jának)
gyulladása	gyulladása
bélhűdés	bél+hűdés
vérhányás	vér+hányás
amennyiben	amennyiben
elszíneződött	elszíneződött
zavaros	zavaros
szemcsés	szemcsés
elkezdése	elkezdése
transzdermális	transzdermális
hagyományos	hagyományos
doxorubicin-	doxorubicin-
hidroklorid	hidroklorid
készítményekkel	készítményekkel
kölcsönhatásba	kölcsön+hatás(ba)
gyógyszerek	gyógy+szer(ek)
egyidejű	egy+idŐ(jű)
alkalmazásakor	alkalmazásakor
körültekintően	körül+tekint|ő(en)
eljárni	eljárni
variabilitás	variabilitás
optimális	optimális
kezelési	kezelési
egyénre	egyénre
szabott	szabott
titrálással	titrálással
állapítandó	állapítandó
INJEKCIÓS	INJEKCIÓS
OLDÓSZERTARTALMÚ	old|ó+szer+tartalm|ú
INTEGRILIN	INTEGRILIN
Cervarix	Cervarix
felnőtt	felnőtt
tapasztalt	tapasztalt
hatékonyságának	hatékonyságának
vonatkoztatása	vonatkoztatása
serdülőkorúakra	serdül|ő+kor+ú+(akra)
Galaktóz	Galaktóz
intolerancia	intolerancia
előforduló	előforduló
örökletes	örökletes
galaktóz	galaktóz
intoleranciában	intoleranciában
laktáz-	laktáz-
hiányban	hiányban
glükóz-	glükóz-
malabszorpcióban	malabszorpcióban
szedhető	szedhető
Astellas	Astellas
lamivudint	lamivudint
egyidejűleg	egy+idE(jűleg)
alkalmazzák	alkalmazzák
lamivudin	lamivudin
hepatitis	hepatitis
alkalmazásáról	alkalmazásáról
információ	információ
előírásában	elő+írás(ában)
TRITAZIDE	TRITAZIDE
Prevenar	Prevenar
rendellenes	rend+ellenes
májfunkciós	máj+funkció(s)
értékek	értékek
túlnyomó	túl+nyom|ó
normalizálódtak	normalizálódtak
dózismódosítás	dózis+módosítás
dózismódosítást	dózis+módosítás(t)
megszakítását	megszakítását
Prograf	Prograf
ciklosporin	ciklosporin
Advagraf	Advagraf
hatásossága	hatásossága
biztonságossága	biztonságossága
vesetranszplantált	vese+transzplantált
betegen	betegen
összehasonlításra	összehasonlításra
baziliximab	baziliximab
antitest	anti+test
indukcióval	indukcióval
kortikoszteroidokkal	kortikoszteroidokkal
MIRAPEXIN	MIRAPEXIN
oktreotid	oktreotid
lanreotid	lanreotid
csökkentheti	csökkentheti
növelheti	növelheti
inzulinigényt	inzulin+igény(t)
szérumban	szérumban
ellenőrizze	ellenőrizze
Tevagrastim	Tevagrastim
fecskendőben	fecskendőben
alábbiakban	alábbiakban
felsorolt	felsorolt
gyakoriságát	gyakoriságát
egyezmény	egyezmény
határozzák	határozzák
veleszületett	vele+született
protein	protein
CEPROTIN	CEPROTIN
purpura	purpura
fulminans	fulminans
eseténél	eseténél
kumarin-	kumarin-
indukálta	indukálta
bőrnekrózis	bőrnekrózis
konzultáljon	konzultáljon
orvosával	orvosával
terhességet	terhességet
atorvasztatinnal	atorvasztatinnal
Enviage	Enviage
egyensúlyi	egyensúlyi
Effentora	Effentora
nedvességgel	nedvességgel
érintkezve	érintkezve
pezsgési	pezsgési
reakcióval	reakcióval
hatóanyagát	ható+anyag(át)
etoricoxib	etoricoxib
szerzett	szerzett
tapasztalatok	tapasztalatok
Hyperhydrosis	Hyperhydrosis
lábfájás	láb+fájás
gyomorfájás	gyomor+fájás
hasmenés	has+menés
székrekedés	szék+rekedés
Truvada-	Truvada-
vérvizsgálatok	vér+vizsgálat(ok)
hepatitisz	hepatitisz
fertőzésük	fertőzésük
súlyosbodott	súlyosbodott
felfordított	felfordított
üvegben	üvegben
folyadék	folyadék
középső	középső
részéből	részéből
kiszívni	kiszívni
anyagot	anyagot
viszkózus	viszkózus
formájában	formájában
másodpercet	másod+perc(et)
Osigraft?	Osigraft?
follitropin	follitropin
TESAVEL-	TESAVEL-
Vérképzőszervi	Vér+képző+szerv|i
nyirokrendszeri	nyirok+rendszer|i
Nátrium-	Nátrium-
hidroxidot	hidroxidot
sósavat	sósavat
használhatnak	használhatnak
savasság	savasság
beállításához	beállításához
fogamzásgátlók	fogamzás+gátló(k)
AVANDAMET	AVANDAMET
roziglitazon/	roziglitazon/
metformin	metformin
Rapilysin	Rapilysin
Lozartán	Lozartán
lozartán	lozartán
plazma-	plazma-
clearance-	clearance-
hozzávetőleg	hozzá+vet|ő(leg)
metabolitjáé	metabolitjáé
Kimutatták	Kimutatták
kortikoszteroidok	kortikoszteroidok
dózisai	dózisai
csökkentik	csökkentik
takrolimusz	takrolimusz
vérszintjét	vér+szint(jét)
paliperidon	paliperidon
anyatejbe	anya+tej(be)
szoptatott	szoptatott
csecsemőre	csecsemőre
szoptató	szoptató
adagokat	adagokat
Inkompatibilitások	Inkompatibilitások
átmeneti	átmeneti
ischaemiás	ischaemiás
cerebrovaszkuláris	cerebrovaszkuláris
történés	történés
gyógyszermellékhatások	gyógyszer+mellék+hatás(ok)
melyeket	melyeket
sorrendben	sorrendben
gyakorisággal	gyakorisággal
törzskönyvi	törzs+könyv|i
befolyásolhatja	befolyásolhatja
amelyeket	amelyeket
szednie	szednie
üzemeltetéséhez	üzemeltetéséhez
képességekre	képességekre
kifejtett	kifejtett
hatásait	hatásait
ciszteamin	ciszteamin
szemcseppet	szem+csepp(et)
használ	használ
alkalmazását	alkalmazását
folytatni	folytatni
Mycamine	Mycamine
candidiasis	candidiasis
kezelésében	kezelésében
ugyanolyan	ugyanolyan
hatékony	hatékony
összehasonlító	összehasonlító
készítmények	készítmények
vizsgálatokban	vizsgálatokban
azonban	azonban
túlérzékenységi	túl+érzékenység|i
reakciók	reakciók
gyakoriságának	gyakoriságának
növekedését	növekedését
védettség	védettség
kezdete	kezdete
bizonyítottan	bizonyítottan
alapimmunizálás	alap+immunizálás
körülmények	körülmények
észlelhető	észlelhető
Hydrochlorothiazide	Hydrochlorothiazide
Winthrop-	Winthrop-
állapotokat	állapotokat
rendezni	rendezni
Kölcsönzött	Kölcsönzött
munkaerő	munka+erő
ideiglenes	ideiglenes
szolgáltatások	szolgáltatások
SILAPO-	SILAPO-
TÁROLNI?	TÁROLNI?
kezelését	kezelését
személyre	személyre
fájdalmas	fájdalmas
Österreich	Österreich
Austria	Austria
Tipografilor	Tipografilor
Felnőttek	Felnőttek
bevonásával	bevonásával
maximum	maximum
dózisok	dózisok
véletlen	véletlen
mellékhatásokat	mellék+hatás(okat)
Valtropin-	Valtropin-
javallatok	javallatok
szereplő	szereplő
diagnosztizálásában	diagnosztizálásában
kezdeményezze	kezdeményezze
kövesse	kövesse
figyelemmel	figyelemmel
Pradaxa	Pradaxa
vérrögök	vér+rög(ök)
kialakulásának	kialakulásának
megelőzésére	megelőzésére
gyermekemnek	gyermekemnek
granulátumot?	granulátumot?
gyógyszert	gyógy+szer(t)
csatlakoztatása	csatlakoztatása
beállítása	beállítása
kétszeres	kétszeres
kihagyott	kihagyott
pótlására	pótlására
előfordulnak	előfordulnak
javasolhatja	javasolhatja
lefekvéskor	lefekvéskor
gyomorra	gyomorra
STOCRIN-	STOCRIN-
Alsfelder	Alsfelder
Várható	Várható
anyatejjel	anya+tej(jel)
kiválasztódnak	kiválasztódnak
bizonyították	bizonyították
bőrreakciók	bőr+reakció(k)
úgymint	úgymint
keményedés	keményedés
gyógyulás	gyógyulás
hegesedés	hegesedés
hólyagok	hólyagok
felléphetnek	felléphetnek
perccel	perccel
étkezés	étkezés
Subcutan	Subcutan
intramuscularis	intramuscularis
intrvénás	intrvénás
alkalmazás	alkalmazás
tolerálható	tolerálható
tanulmányok	tanulmányok
alkalmazást	alkalmazást
duzzanat	duzzanat
megfigyelhető	megfigyelhető
kevesebb	kevesebb
Kizárólag	Kizárólag
állatorvosi	állat+orvos|i
